name,brand,ram_gb,storage_gb,battery_mah,screen_inches,camera_rear_mp,camera_front_mp,network,os,processor_type,price,url,source
Samsung Galaxy A07 / 8 Go / 64 Go / Vert,Samsung,8.0,64.0,5000.0,6.7,50.0,8.0,4G,Android 15,Octa Core,349.0,https://www.tunisianet.com.tn/smartphone-tunisie/89151-samsung-galaxy-a07-8-go-64-go-vert.html,Tunisianet
Smartphone Infinix SMART 10 4G / 4 Go / 256 Go / Bleu,Infinix,4.0,256.0,5000.0,6.6,8.0,8.0,4G,Android 15,Octa Core,359.0,https://www.tunisianet.com.tn/smartphone-tunisie/87288-smartphone-infinix-smart-10-4g-4-go-256-go-bleu.html,Tunisianet
SMARTPHONE REALME NOTE 50 / 4 Go / 256 Go /  Bleu,realme,4.0,256.0,5000.0,6.7,50.0,5.0,4G,Android 13,Octa Core,359.0,https://www.tunisianet.com.tn/smartphone-tunisie/79113-smartphone-realme-note-50-4-go-256-go-bleu.html,Tunisianet
SMARTPHONE REALME NOTE 50 / 4 Go / 256 Go /  Noir,realme,4.0,256.0,5000.0,6.7,50.0,5.0,4G,Android 13,Octa Core,359.0,https://www.tunisianet.com.tn/smartphone-tunisie/79112-smartphone-realme-note-50-4-go-256-go-noir.html,Tunisianet
Smartphone Infinix SMART 10 4G / 4 Go / 256 Go / Silver,Infinix,4.0,256.0,5000.0,6.6,8.0,8.0,4G,Android 15,Octa Core,359.0,https://www.tunisianet.com.tn/smartphone-tunisie/87289-smartphone-infinix-smart-10-4g-4-go-256-go-silver.html,Tunisianet
Smartphone Infinix SMART 10 4G / 4 Go / 256 Go / Gold,Infinix,4.0,256.0,5000.0,6.6,8.0,8.0,4G,Android 15,Octa Core,359.0,https://www.tunisianet.com.tn/smartphone-tunisie/87290-smartphone-infinix-smart-10-4g-4-go-256-go-gold.html,Tunisianet
Smartphone Infinix SMART 10 4G / 4 Go / 256 Go / Noir,Infinix,4.0,256.0,5000.0,6.6,8.0,8.0,4G,Android 15,Octa Core,359.0,https://www.tunisianet.com.tn/smartphone-tunisie/87286-smartphone-infinix-smart-10-4g-4-go-256-go-noir.html,Tunisianet
SMARTPHONE VIVO Y04 8 Go / 128 Go / Gold,Vivo,8.0,128.0,5500.0,6.7,13.0,5.0,4G,Android 14,Unisoc,369.0,https://www.tunisianet.com.tn/smartphone-tunisie/88754-smartphone-vivo-y04-8-go-128-go-gold.html,Tunisianet
SMARTPHONE VIVO Y04 8 Go / 128 Go / Vert,Vivo,8.0,128.0,5500.0,6.7,13.0,5.0,4G,Android 14,Unisoc,369.0,https://www.tunisianet.com.tn/smartphone-tunisie/88753-smartphone-vivo-y04-8-go-128-go-vert.html,Tunisianet
SMARTPHONE HONOR X5C 4Go / 64Go / Noir,Honor,4.0,4.0,5260.0,6.7,13.0,5.0,4G,Android 15,Octa Core,379.0,https://www.tunisianet.com.tn/smartphone-tunisie/90679-smartphone-honor-x5c-4go-64go-noir.html,Tunisianet
SMARTPHONE HONOR X5C 4Go / 64Go / Bleu,Honor,4.0,4.0,5260.0,6.7,13.0,5.0,4G,Android 15,Octa Core,379.0,https://www.tunisianet.com.tn/smartphone-tunisie/90680-smartphone-honor-x5c-4go-64go-noir.html,Tunisianet
Samsung Galaxy A07 / 8 Go / 64 Go / Noir Avec Chargeur secteur et câble,Samsung,8.0,64.0,5000.0,6.7,50.0,8.0,4G,Android 15,Octa Core,379.0,https://www.tunisianet.com.tn/smartphone-tunisie/90540-samsung-galaxy-a07-8-go-64-go-noir-avec-chargeur-secteur-et-cable-.html,Tunisianet
Samsung Galaxy A07 / 8 Go / 64 Go / Violet Avec Chargeur secteur et câble,Samsung,8.0,64.0,5000.0,6.7,50.0,8.0,4G,Android 15,Octa Core,379.0,https://www.tunisianet.com.tn/smartphone-tunisie/90537-samsung-galaxy-a07-8-go-64-go-violet-avec-chargeur-secteur-et-cable-.html,Tunisianet
